LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
79m         Warning   FailedScheduling         pod/hive-metastore-0                             0/9 nodes are available: 2 node(s) were unschedulable, 3 node(s) had taints that the pod didn't tolerate, 4 node(s) had volume node affinity conflict.
59m         Warning   FailedScheduling         pod/hive-metastore-0                             0/7 nodes are available: 3 node(s) had taints that the pod didn't tolerate, 4 node(s) had volume node affinity conflict.
65m         Warning   FailedScheduling         pod/hive-metastore-0                             0/8 nodes are available: 3 node(s) had taints that the pod didn't tolerate, 5 node(s) had volume node affinity conflict.
58m         Normal    SuccessfulAttachVolume   pod/hive-metastore-0                             AttachVolume.Attach succeeded for volume "pvc-9e42450b-ca87-11e9-a248-0698e01dcbf2"
58m         Normal    TaintManagerEviction     pod/hive-metastore-0                             Cancelling deletion of Pod openshift-metering/hive-metastore-0
57m         Normal    Pulling                  pod/hive-metastore-0                             Pulling image "quay.io/openshift/origin-metering-hive:4.1"
56m         Normal    Pulled                   pod/hive-metastore-0                             Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
56m         Normal    Created                  pod/hive-metastore-0                             Created container metastore
56m         Normal    Started                  pod/hive-metastore-0                             Started container metastore
36m         Normal    Killing                  pod/hive-metastore-0                             Stopping container metastore
16m         Normal    Scheduled                pod/hive-metastore-0                             Successfully assigned openshift-metering/hive-metastore-0 to ip-10-0-148-140.us-west-2.compute.internal
16m         Warning   FailedAttachVolume       pod/hive-metastore-0                             AttachVolume.Attach failed for volume "pvc-f8dad6e1-cb63-11e9-a85b-0698e01dcbf2" : "Error attaching EBS volume \"vol-0123f3f1df0e985eb\"" to instance "i-053a699bc7aa6f8bf" since volume is in "creating" state
16m         Normal    SuccessfulAttachVolume   pod/hive-metastore-0                             AttachVolume.Attach succeeded for volume "pvc-f8dad6e1-cb63-11e9-a85b-0698e01dcbf2"
16m         Normal    Pulling                  pod/hive-metastore-0                             Pulling image "quay.io/openshift/origin-metering-hive:4.1"
16m         Normal    Pulled                   pod/hive-metastore-0                             Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
16m         Normal    Created                  pod/hive-metastore-0                             Created container metastore
16m         Normal    Started                  pod/hive-metastore-0                             Started container metastore
33m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
30m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
27m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
25m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
22m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
20m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
